YEAR/MONTH,RAINFALL_KONKAN & GOA,RAINFALL_MADHYA MAHARASHTRA,RAINFALL_MARATHVADA,RAINFALL_VIDHARBA,RAINFALL_CHHATTISGARH
Aug-28,939.9,159.6,135,185.2,272.7
Sep-28,264.5,209,288.1,180.1,192.5
Oct-28,137.9,62.5,58.8,108.5,97.8
Nov-28,7.7,3.1,0,0.1,0
Dec-28,0.4,14.1,1.7,17.8,4.4
Jan-29,1,1,0,3.8,23.1
Feb-29,0,6.4,31.6,52.6,28.9
Mar-29,3.2,2,0.9,0.7,1.2
Apr-29,14.9,37.1,21.6,11.8,14.4
May-29,6.2,6.4,1.7,0.7,5.6
Jun-29,773.8,155.9,165.8,170.9,216.2
Jul-29,767.6,168.2,104.7,263.5,597.9
Aug-29,516,73.7,48.2,157.4,461.1
Sep-29,250.9,151.6,179,193.1,179.2
Oct-29,152.4,82.5,51.7,28.2,94.3
Nov-29,11.2,3.4,0,0,0
Dec-29,12.1,2.2,4.2,29.8,41.9
Jan-30,0,0,0,0,0
Feb-30,0.2,0,1,5.3,4
Mar-30,0.1,0.7,1.7,1.2,13.5
Apr-30,0.3,3.2,13,27.4,43.3
May-30,12.5,29.8,4.1,4.4,7.9
Jun-30,1024.9,178.1,132.2,181.3,190.9
Jul-30,690.5,233.7,49.6,252.9,517.4
Aug-30,427.3,106.5,75.7,194.4,285
Sep-30,542.6,247,281,233.2,185.3
Oct-30,136.2,87.4,64.6,44.8,37.3
Nov-30,10.6,37.7,17.1,36.3,93.9
Dec-30,0.6,5,0.3,1.9,5.1
Jan-31,0,0,0,4,8.4
Feb-31,0,0,0,4.6,64.4
Mar-31,0.1,0.6,3.8,11.6,14.5
Apr-31,1.7,14,4.4,5.6,10.6
May-31,1.8,2.9,7.7,3.1,14.6
Jun-31,344.9,109.7,134.5,103.3,104.6
Jul-31,1867.2,316.3,295.1,380.6,359.1
Aug-31,944.9,233.5,142.8,390.7,510.8
Sep-31,307.1,178.9,242.1,232.9,169.3
Oct-31,458.9,180.9,175.1,225.1,156.3
Nov-31,51.5,70.2,70.1,40.2,54.1
Dec-31,21.2,25.3,13.1,2.4,0.2
Jan-32,0.5,0,0,0,0
Feb-32,0,0.5,2.5,27.4,22.9
Mar-32,0,8.6,7.7,12.9,3.7
Apr-32,2.9,22.3,7.7,3.4,9.5
May-32,45.9,27.3,20.1,10.3,18.8
Jun-32,435.3,67.3,111.5,154.2,109.6
Jul-32,1248.1,351.7,276.6,526.6,525.2
Aug-32,485.6,221.3,161.3,176.7,300.9
Sep-32,456.2,162.8,161.6,183.8,272.6
Oct-32,259.1,148.4,54.6,25.6,56.4
Nov-32,21.1,30.8,34.3,9.7,37.6
Dec-32,8.2,4,6.3,0,0.2
Jan-33,0,1.4,9.1,4.8,31.6
Feb-33,0.1,0.5,7.6,38.3,75.9
Mar-33,1.6,3.4,10.1,9.1,14.9
Apr-33,15.3,8.5,13.5,20.5,21.9
May-33,129.2,76.5,66.7,64.6,97.3
Jun-33,816.5,182.3,206.6,244.6,310.7
Jul-33,909,194.7,214.7,353.7,388.9
Aug-33,758.6,259.4,180.4,365.4,368.3
Sep-33,485.8,286.1,340.8,301.7,286.5
Oct-33,179.7,93.3,30.7,75.1,41.4
Nov-33,19.2,24,17.5,8.4,7.9
Dec-33,28.4,22.3,25.2,16,5.5
Jan-34,0.7,3.7,6,2.2,1.8
Feb-34,0,0,0,0,0
Mar-34,0.3,1.9,0,0.3,1.5
Apr-34,2.7,7.3,11.9,8.5,11.5
May-34,0.7,8,1.3,0.3,0
Jun-34,1060.2,138.2,95.8,169.1,263.1
Jul-34,893,217,248.6,335.1,412
Aug-34,870.7,222.3,256.8,390.9,483.4
Sep-34,329.7,136.8,159.9,254.4,305.3
Oct-34,60.3,41.2,16.8,10.8,37
Nov-34,53.5,82,79.5,46.6,12.3
Dec-34,0.5,0,0,0.1,1.1
Jan-35,0.2,2.5,7.2,14.5,12.2
Feb-35,0.1,0,0.5,4.6,17.9
Mar-35,0,0,0,0.7,5.1
Apr-35,0,3.7,14,26,33.4
May-35,0,1.4,0.4,1,4.1
Jun-35,700.3,149.6,191.1,151.8,132.2
Jul-35,879.9,208.6,197.4,528.1,562.1
Aug-35,466.5,195.5,196.6,164.8,247.2
Sep-35,419.7,126.7,223.5,250.4,247.6
Oct-35,64.3,119.4,84.1,13.4,3.8
Nov-35,11,7.7,5.8,0.4,0
Dec-35,0.6,3.9,1.4,2.3,3.6
Jan-36,0,1.3,0,17.6,31.9
Feb-36,0,6.2,26.6,60.3,44.7
Mar-36,0.1,4.3,7.8,21.6,14.6
Apr-36,0.3,3.8,10.7,4.8,4.3
May-36,23.2,21.1,33.3,30.5,46.6
Jun-36,993.2,169.2,137.5,377.5,413.1
Jul-36,712.9,113.9,92.2,285.3,463.8
Aug-36,534.9,106.3,119.3,308.3,434.5
Sep-36,376.2,161.5,145.1,188.8,258
Oct-36,62.1,17.2,9.1,61.9,90.4
Nov-36,79.1,130.4,139.9,90.9,18.2
Dec-36,1.3,0.3,6.2,3.5,6.1
Jan-37,0,0,0,0,0
Feb-37,4,2,13.2,33.1,66.2
Mar-37,0.1,2,11.3,42.4,21.5
Apr-37,53.5,47.7,43.8,112.7,76.3
May-37,2.4,4.7,1.1,1.5,19.2
Jun-37,826.9,146.7,75.8,135.6,222.6
Jul-37,1492.9,319.4,277.3,476.2,501
Aug-37,270.1,63.6,35.8,177.2,391.9
Sep-37,378.1,219.9,152.8,226,237
Oct-37,159.2,96.1,106.4,105.7,79.8
Nov-37,4,1.3,0.3,0.4,1
Dec-37,0.7,11,20.5,8.4,0.2
Jan-38,0,0.6,0,4,18.4
Feb-38,0.4,1,8.8,12.4,25.1
Mar-38,4,23.5,17.7,9.7,5.4
Apr-38,2.1,12.2,15.6,6.5,8.2
May-38,55.2,50.4,27.3,26.2,48.8
Jun-38,1118.1,239.9,253.3,354,269.2
Jul-38,908.2,286.6,260.1,425.6,386.8
Aug-38,634.8,169.4,146.5,314.1,343.5
Sep-38,345.6,191.5,256.1,181.6,266.7
Oct-38,400,141.3,86.8,126.8,126.6
Nov-38,27,7.6,0.2,0,7
Dec-38,0.1,2.3,0.3,0,0.1
Jan-39,0.2,0.2,0.2,1.3,6.5
Feb-39,0,0.2,0,1.9,22.8
Mar-39,0.4,4.1,3.7,34.2,53.2
Apr-39,5.8,6.3,9.1,12.2,19.9
May-39,0.1,1.1,0.2,0.1,1.1
Jun-39,509.6,127.6,98.2,116.1,188.6
Jul-39,1116.8,303.9,163.6,224.2,427.5
Aug-39,817.1,219.9,188.6,385.4,478.6
Sep-39,227.9,88.5,73.8,66.5,198.3
Oct-39,58,41.8,25.3,33.5,79.3
Nov-39,22.7,27.3,16.5,6,4.6
Dec-39,0,0.8,1,0.4,0
Jan-40,4.8,1.3,0,0,0.2
Feb-40,6.1,1.8,0.4,9.3,23
Mar-40,2.8,0.5,0,1.3,31.1
Apr-40,1.9,16.5,11.2,12.8,26.4
May-40,7.9,15.8,13.4,11.5,41.5
Jun-40,668.3,191.3,178.8,262.7,218.6
Jul-40,1105.9,215.9,176.9,591,542.9
Aug-40,987.1,188.7,239.5,298.6,395.6
Sep-40,328.9,132,139,53.6,72.8
Oct-40,172.7,95.2,63.1,79,67.2
Nov-40,26.7,30.1,31.5,24.3,4.9
Dec-40,0.6,4.2,1.8,13.4,24.3
Jan-41,17.1,28.2,9.4,9.6,20.8
Feb-41,0.2,8,9.3,15.2,13.8
Mar-41,0.1,1.8,1.1,13.5,18.4
Apr-41,1,5.4,0.5,3.1,3.3
May-41,5.1,4.2,0,4.8,27.1
Jun-41,602.7,96.1,50.2,142.3,240.8
Jul-41,718,338.6,114.9,338.8,218.6
Aug-41,282,103.7,150.4,182.4,238.7
Sep-41,194.6,143.3,190.6,112.8,146
Oct-41,61.4,44.5,14.5,6.5,70.9
Nov-41,0.2,0.1,0,0,6.5
Dec-41,7.3,0.4,0,0,0.2
Jan-42,0,0.2,0,2.4,13.1
Feb-42,0,2.5,24.3,84.9,48.2
Mar-42,0,0.2,0,0,7.5
Apr-42,3.3,6.7,6.6,12.9,18.7
May-42,2.6,10,3.9,1.9,17.7
Jun-42,987.6,213.3,221,179.4,164.1
Jul-42,1386.3,364.7,227.2,508.3,540.7
Aug-42,536.7,191.6,311.4,366.5,470.7
Sep-42,312,93.8,124.9,159.2,289.6
Oct-42,37.1,20,11.1,4.9,23.9
Nov-42,1.4,1.3,0,0,1.6
Dec-42,12.4,36.9,72.6,21.2,2.3
Jan-43,3.6,4.1,7.1,55,99.5
Feb-43,0,0,0.1,0.1,5.1
Mar-43,0.1,1.5,1.5,0.4,1
Apr-43,0,3.5,0.2,7.2,19.5
May-43,200,63.4,47.6,28.3,32.1
Jun-43,788,150.5,187.4,141.9,214.2
Jul-43,1313.1,316.4,105.8,275.1,459.7
Aug-43,281.8,80.9,62.3,149.2,386.5
Sep-43,468.4,166.2,282.9,277.5,373.6
Oct-43,168.4,196,156.5,83.4,52.8
Nov-43,27.8,10.6,1,0.1,1
Dec-43,0,0,0,0,0
Jan-44,0.1,0.8,0.4,4.5,24.4
Feb-44,0,0.7,12.2,59.4,78.3
Mar-44,0.7,10.3,32.6,64.8,102.9
Apr-44,0,0.1,0,1.6,25
May-44,17.5,21.4,5.2,2.7,11.1
Jun-44,542.5,132.2,85.1,96.6,101.3
Jul-44,1456,421.7,230.7,470.4,611.7
